,label,youtube_id,time_start,time_end,split
3651,belly dancing,-UJvdxoTE2I,3,13,train
3675,country line dancing,-Ubzo-TKF60,181,191,train
3797,tango dancing,-W1AM3XX4_A,317,327,train
3863,dancing ballet,-WmjG9gBUTI,301,311,train
3932,mosh pit dancing,-XEFidmMS6g,50,60,train
3959,tango dancing,-XWNL3WxzaI,6,16,train
3995,swing dancing,-XyE05XlEqo,176,186,train
4001,swing dancing,-Y-fUYGcb7o,49,59,train
4168,mosh pit dancing,-ZZ9N1fh-wE,10,20,train
4247,salsa dancing,-_ScQW-_JMQ,167,177,train
4282,tap dancing,-_pn5NxJmok,4,14,train
4293,country line dancing,-_xpBSA0HKY,75,85,train
4363,mosh pit dancing,-afSjvCPyps,42,52,train
4409,swing dancing,-b4i0scwuiU,28,38,train
4448,dancing macarena,-bOgXBuuge0,48,58,train
4558,dancing gangnam style,-cIPyFZRweI,3,13,train
4562,salsa dancing,-cKUwy4v04Q,166,176,train
4596,dancing gangnam style,-ceOB7utBGk,9,19,train
4610,belly dancing,-ci0aM-_ayw,73,83,train
4612,jumpstyle dancing,-ciVOQS2RHo,233,243,train
4683,swing dancing,-dIm5fqjVk4,14,24,train
4802,jumpstyle dancing,-eR5PBH07Nc,16,26,train
4814,country line dancing,-eXZHYdrZZc,46,56,train
4838,square dancing,-ejVtZ9IVN4,9,19,train
4860,jumpstyle dancing,-evaD58XTGs,76,86,train
5029,dancing macarena,-gBVLK8t4tE,4,14,train
5084,robot dancing,-gcjYCvU9IM,48,58,train
5166,dancing charleston,-hGlxmmji9o,43,53,train
5267,dancing macarena,-i7rrd7W7UM,134,144,train
5269,salsa dancing,-i8qXrhHOkY,28,38,train
5276,jumpstyle dancing,-iCkcQcXhl8,33,43,train
5306,dancing macarena,-iVIGUElAfM,53,63,train
5309,jumpstyle dancing,-iYoFfGfgkI,73,83,train
5364,dancing charleston,-itPc_l4AGs,16,26,train
5389,jumpstyle dancing,-j7KbbDG2uo,27,37,train
5446,dancing macarena,-jRtipDJaSU,0,10,train
5449,robot dancing,-jSJQuCgydA,18,28,train
5511,dancing gangnam style,-jwd_e-FwkQ,0,10,train
5522,dancing macarena,-k1jF9CkQ2A,163,173,train
5637,tap dancing,-koo4FOfZE0,89,99,train
5680,dancing gangnam style,-l8VHbAWlYE,90,100,train
5729,tap dancing,-laf6Y17FkA,127,137,train
5730,salsa dancing,-lalLEEvhV8,122,132,train
5741,dancing ballet,-lh0iu1g7wE,2,12,train
5780,tap dancing,-m2WZLslIqw,125,135,train
5782,tap dancing,-m4lDw7atUE,159,169,train
5788,square dancing,-m6HBpoqCVE,124,134,train
5850,country line dancing,-mc3NdGyxMU,3,13,train
5877,breakdancing,-mqyKIWq6GA,119,129,train
5883,tap dancing,-mwC9o_A3sE,114,124,train
5903,tap dancing,-n0z-qvK7x4,45,55,train
5940,mosh pit dancing,-nMGxZgVw7w,0,10,train
5995,salsa dancing,-nt-svW8Bqo,98,108,train
6013,jumpstyle dancing,-o1Jl_ElA_4,31,41,train
6054,dancing gangnam style,-oJgAPW_9RM,37,47,train
6105,jumpstyle dancing,-onTnotvtPI,45,55,train
6114,tap dancing,-orJ9_9WatE,11,21,train
6166,swing dancing,-pOEsEPFFIw,6,16,train
6169,dancing charleston,-pPJzusZmro,17,27,train
6182,dancing macarena,-pZ6R3HDXf0,26,36,train
6207,dancing gangnam style,-pk9WMis7Vo,3,13,train
6224,dancing charleston,-pt85VuDHDY,0,10,train
6242,belly dancing,-q0Wpf0WThk,317,327,train
6283,dancing charleston,-qKcq4t4oJA,105,115,train
6298,robot dancing,-qUB8Zj0gF8,64,74,train
6306,tap dancing,-qVt-Y2vcwE,85,95,train
6408,dancing ballet,-rVTcj0DiXw,112,122,train
6413,breakdancing,-rWypqP0Tck,10,20,train
6423,swing dancing,-rd5PEsfQPc,22,32,train
6436,dancing charleston,-rk0nOoHAdY,100,110,train
6480,dancing charleston,-sMD5sf_FO8,21,31,train
6498,dancing macarena,-sVo84G6514,30,40,train
6527,salsa dancing,-sjfS02i2jI,180,190,train
6596,dancing ballet,-tSZd3jKHpg,73,83,train
6611,salsa dancing,-tZY4HE03yo,63,73,train
6646,dancing macarena,-tsNVjN2zSE,154,164,train
6648,dancing macarena,-ttWnf0TQY4,34,44,train
6663,robot dancing,-u1syZ5fxSA,2,12,train
6682,mosh pit dancing,-uD1Rdt0mG0,115,125,train
6748,belly dancing,-uv_-QtVUh0,89,99,train
6749,salsa dancing,-uvzdzobzSU,54,64,train
6825,dancing gangnam style,-vfv-7yUabU,62,72,train
6827,breakdancing,-vgNRqC56Lk,54,64,train
6860,belly dancing,-vxSVUZGaok,44,54,train
6941,dancing macarena,-wii19IZoUs,4,14,train
7029,dancing ballet,-xjovT9c-q0,56,66,train
7095,swing dancing,-yGqXEZRbEk,99,109,train
7133,dancing gangnam style,-yf7-CgpyAE,12,22,train
7138,country line dancing,-yi2s4DW6MA,14,24,train
7150,dancing macarena,-ysjvl5YaKQ,2,12,train
7185,square dancing,-zMK3iS4fvY,56,66,train
7241,breakdancing,-zznOFzbdKQ,57,67,train
7248,tap dancing,0-3yl2_Myso,3,13,train
7253,dancing gangnam style,0-85zew-Ffs,4,14,train
7288,dancing charleston,0-UnlIzrGYM,79,89,train
7294,tap dancing,0-b4M8jssX8,108,118,train
7305,breakdancing,0-j32uToWag,81,91,train
7338,tap dancing,0-v_fA3WPXI,55,65,train
7382,breakdancing,00Q1yLqGCY0,54,64,train
7400,swing dancing,00cTtC717kM,40,50,train
7543,dancing charleston,01vz5eG5Tvw,74,84,train
7635,mosh pit dancing,02ff4iB-AxU,3,13,train
7671,swing dancing,02y6zWWUHLo,20,30,train
7697,jumpstyle dancing,036oZtqfW1Y,84,94,train
7728,breakdancing,03LexUfuweY,18,28,train
7772,robot dancing,03itqKaw8ec,27,37,train
7781,tap dancing,03myzLkvb_E,53,63,train
7795,robot dancing,03teFOdaZKo,0,10,train
7843,dancing gangnam style,04I82lSY90c,12,22,train
7851,dancing charleston,04KNSB6EKkc,18,28,train
7858,jumpstyle dancing,04O0fbu2KqI,23,33,train
7929,swing dancing,04t-dJeO9S0,4,14,train
7937,square dancing,04wKx4-jBEs,55,65,train
7940,breakdancing,04y149S_ots,573,583,train
7968,dancing gangnam style,05APlbDxQc8,8,18,train
7976,tango dancing,05DYAImHEXs,0,10,train
8005,tango dancing,05T-mxQdu2g,226,236,train
8013,dancing macarena,05Ze7_XyfZ8,11,21,train
8068,tap dancing,05wsL12f47w,58,68,train
8130,salsa dancing,06PWAHq3ku8,50,60,train
8240,belly dancing,07GWZhbkR_0,85,95,train
8243,dancing charleston,07HEzNmcZ34,11,21,train
8255,breakdancing,07NVtDLt-Kc,6,16,train
8274,robot dancing,07bAsAux0y0,69,79,train
8276,dancing macarena,07bzSRX7uc8,53,63,train
8304,swing dancing,07r6PaqMrZk,113,123,train
8320,breakdancing,07wi_s74YG0,4,14,train
8410,dancing gangnam style,08XCRYe41Os,40,50,train
8432,tango dancing,08grtKkqwvY,112,122,train
8459,dancing ballet,08t3tp-avUE,3,13,train
8461,salsa dancing,08tiN96FebU,18,28,train
8462,dancing gangnam style,08ticaoBlWs,7,17,train
8481,robot dancing,090z4pxSE7A,50,60,train
8485,mosh pit dancing,0926nXPz1gY,6,16,train
8517,salsa dancing,09Hbbin_TK0,175,185,train
8564,robot dancing,09hZs0ExbBQ,30,40,train
8620,breakdancing,0A7bjpkmc1E,185,195,train
8641,dancing gangnam style,0AI_vjc9g6o,12,22,train
8687,tap dancing,0AjZCHKtJG8,26,36,train
8695,dancing gangnam style,0AmZKYcv2OE,82,92,train
8707,dancing macarena,0AtUeWLivIk,87,97,train
8727,robot dancing,0B96-Ai9jeI,8,18,train
8761,tap dancing,0BZakLHCi4A,201,211,train
8773,belly dancing,0BeuFmkW5as,143,153,train
8818,country line dancing,0C3DvkVAMew,86,96,train
8829,dancing gangnam style,0CApQWg8ViU,0,10,train
8917,square dancing,0Cyoavthm6s,130,140,train
8928,jumpstyle dancing,0D3AVuNz50w,614,624,train
8934,breakdancing,0D5ZA1xF6s8,18,28,train
8974,robot dancing,0DQ6yO-fBD8,113,123,train
9051,jumpstyle dancing,0DyCWmkJScs,3,13,train
9063,square dancing,0E58swbxmQA,482,492,train
9089,breakdancing,0EI804x_Qe0,201,211,train
9135,belly dancing,0EezE5Ylj-g,166,176,train
9142,breakdancing,0Ek0SD0LLC8,0,10,train
9145,belly dancing,0EkDMT2U9W4,44,54,train
9149,breakdancing,0EkwOZ7nesY,27,37,train
9154,salsa dancing,0Ene1kBEt5Q,85,95,train
9156,breakdancing,0EojNazUJ9U,109,119,train
9158,dancing macarena,0ErBwoEUrjI,110,120,train
9178,dancing charleston,0F-yMf2F_6A,32,42,train
9187,salsa dancing,0F57ZCIDLew,88,98,train
9232,swing dancing,0FT80pynMBY,92,102,train
9310,tango dancing,0GI8boEaFHM,62,72,train
9312,dancing ballet,0GITpJjX4qs,545,555,train
9317,belly dancing,0GJDwzYw7wo,3,13,train
9319,dancing ballet,0GJggKtnkEE,137,147,train
9335,tap dancing,0GQFYsxMP9Y,53,63,train
9350,tap dancing,0GWM3flz3ic,147,157,train
9364,salsa dancing,0Gbe5JUyy64,163,173,train
9385,jumpstyle dancing,0GloUfvb8z8,0,10,train
9400,tango dancing,0GrWihD18NI,67,77,train
9426,tap dancing,0H37S12sCXM,480,490,train
9438,breakdancing,0H6ylMAcLWE,193,203,train
9441,salsa dancing,0H9pEyGwF5E,10,20,train
9455,swing dancing,0HGWOQdE9n0,79,89,train
9489,tap dancing,0HWhcKnIrqs,0,10,train
9519,dancing charleston,0HplfMsu8Gg,137,147,train
9529,robot dancing,0HuzXEurvTM,6,16,train
9540,robot dancing,0I-vbHmDjGs,4,14,train
9583,jumpstyle dancing,0IRjzvK-Zfk,2,12,train
9680,belly dancing,0JUQMnQF6mc,92,102,train
9772,dancing charleston,0KBDkR4n6xY,93,103,train
9846,dancing ballet,0KlmpvUrmk4,11,21,train
9852,salsa dancing,0KoJZg6jONE,45,55,train
9854,mosh pit dancing,0Koeugb8HGc,7,17,train
9865,swing dancing,0KwLRVSUUjA,167,177,train
9908,dancing gangnam style,0LB7VxU7mjc,36,46,train
9918,swing dancing,0LGDPVwWMhg,9,19,train
9956,robot dancing,0LbjHTcjeq0,11,21,train
9967,square dancing,0LiWZ2bmFRE,66,76,train
10007,dancing macarena,0M-EglwvrSU,126,136,train
10161,tango dancing,0NDi9GQwAnw,114,124,train
10182,breakdancing,0NOVAxIyAFc,32,42,train
10229,dancing macarena,0NpscLUEx0Y,17,27,train
10286,tap dancing,0OSjXzxiv6Q,2,12,train
10290,tango dancing,0OTjgx8oP54,107,117,train
10308,dancing gangnam style,0Od00N2SNaY,8,18,train
10436,dancing charleston,0PnCon45iYg,164,174,train
10452,breakdancing,0PvXY1CGLHc,1,11,train
10456,robot dancing,0Pwbnaw7RwQ,5,15,train
10492,tap dancing,0QKs5fUXMjU,47,57,train
10595,robot dancing,0RJSKp7TvWI,211,221,train
10605,tap dancing,0RNc78-05dU,30,40,train
10608,robot dancing,0RNxVdXacGk,42,52,train
10632,swing dancing,0R_vyiYVEG4,194,204,train
10636,country line dancing,0RbEI2D8NHg,24,34,train
10649,salsa dancing,0RhpySPj_YM,37,47,train
10679,tap dancing,0Rx5_IEmzpo,157,167,train
10694,robot dancing,0S4uq95gc3U,23,33,train
10724,dancing gangnam style,0SI5_7lbtHQ,51,61,train
10735,jumpstyle dancing,0SOq4wSdiNo,75,85,train
10754,square dancing,0SZzLgcHfcM,22,32,train
10758,dancing charleston,0Sbga8Y3DBg,9,19,train
10769,jumpstyle dancing,0SgvqX30mjs,43,53,train
10806,swing dancing,0SzUtp7G7sc,102,112,train
10825,jumpstyle dancing,0TB0YYbJiMM,2,12,train
10828,tap dancing,0TBzhlvgiJE,56,66,train
10853,tango dancing,0TQL2FaeB9E,68,78,train
10863,jumpstyle dancing,0TUgtN_gN9Q,29,39,train
10889,jumpstyle dancing,0Tg__pZ5fVA,101,111,train
11018,salsa dancing,0UnO2yzfTJA,64,74,train
11057,swing dancing,0VErvmlBX0w,26,36,train
11064,tap dancing,0VKlPcvL3dM,54,64,train
11093,country line dancing,0VatkN_w-gY,22,32,train
11096,dancing macarena,0VeH2RZ747c,11,21,train
11107,dancing charleston,0VkMVfiKkSo,31,41,train
11209,salsa dancing,0W_La1V3dwQ,65,75,train
11266,tango dancing,0XBTTkt34iU,71,81,train
11325,swing dancing,0XqXZvaqgYY,132,142,train
11332,square dancing,0Xw6XMNz78c,64,74,train
11398,dancing gangnam style,0YabArljBVg,88,98,train
11465,country line dancing,0ZMbhcY8f0A,106,116,train
11617,belly dancing,0_ugUEZ0L38,44,54,train
11686,tap dancing,0a_1cJMYtxo,126,136,train
11708,dancing gangnam style,0agGZcZYlGs,18,28,train
11851,square dancing,0bks6Pad2_0,351,361,train
11936,dancing gangnam style,0cRSaP17TDU,25,35,train
11952,dancing ballet,0cY_7cOICXU,113,123,train
12101,dancing ballet,0dcravcgC1E,67,77,train
12161,dancing macarena,0e6s5Vn3Qlo,74,84,train
12176,salsa dancing,0eGzfxGUUH8,34,44,train
12229,breakdancing,0egexPWEPxU,3,13,train
12264,tap dancing,0f0sVob1QHU,42,52,train
12266,breakdancing,0f1vKMit9uw,96,106,train
12281,robot dancing,0f6XKv4_ihY,11,21,train
12300,swing dancing,0fC8dt9jS-Q,54,64,train
12302,tap dancing,0fCZ4MW3jYU,212,222,train
12305,jumpstyle dancing,0fDT7w7ftiQ,22,32,train
12328,tap dancing,0fTclAz3oj4,111,121,train
12333,country line dancing,0fVrUF32Dgk,139,149,train
12496,breakdancing,0gfzQHaD4zk,5,15,train
12499,square dancing,0giEtixIGko,159,169,train
12557,swing dancing,0h70fRtN3zI,141,151,train
12577,robot dancing,0hH4xU8I6i8,87,97,train
12596,mosh pit dancing,0hUHagLRaCw,0,10,train
12666,tango dancing,0i0lXCbGZsQ,64,74,train
12673,tango dancing,0i1vm_Cb8K4,77,87,train
12684,robot dancing,0i8-WQwo9AU,65,75,train
12724,robot dancing,0ibtJ4rdGDg,111,121,train
12727,robot dancing,0igA249MkuQ,121,131,train
12733,salsa dancing,0iigPdcQ-Ak,122,132,train
12783,salsa dancing,0j9QZ8LnfCs,215,225,train
12831,dancing charleston,0jVEoopTP00,17,27,train
12913,belly dancing,0k9L30-lmyg,0,10,train
12927,dancing gangnam style,0kHIsNBivPU,0,10,train
12930,breakdancing,0kJZJjRXzd0,0,10,train
13004,dancing ballet,0kvUTKjwcD0,48,58,train
13034,dancing ballet,0l9Qew2AnaU,51,61,train
13123,dancing gangnam style,0lu_Fwcy-Ro,3,13,train
13154,breakdancing,0m7AqgPm_x8,86,96,train
13204,tap dancing,0mTi_gr0e_Q,179,189,train
13214,tango dancing,0mZZVL6n4Xc,157,167,train
13249,tango dancing,0mt_xF2bLOM,12,22,train
13273,dancing charleston,0nATf03yGfY,49,59,train
13298,dancing charleston,0nMb-fRkFIo,32,42,train
13339,square dancing,0niDQCNL_rc,64,74,train
13354,robot dancing,0nqdLrsDfGw,155,165,train
13411,tap dancing,0oMQFAurqK4,176,186,train
13413,robot dancing,0oMySewKTYA,93,103,train
13437,robot dancing,0ob0cFRRtCk,66,76,train
13443,robot dancing,0oeYbitjqgw,63,73,train
13475,robot dancing,0ouWzBh8f7E,14,24,train
13484,dancing ballet,0owoOHazQvU,534,544,train
13524,square dancing,0pGWuTn95Ro,17,27,train
13553,square dancing,0pVqHNqYv0Y,0,10,train
13558,tango dancing,0pZHlHeChQI,35,45,train
13662,breakdancing,0qZJ8PfqtAE,14,24,train
13711,square dancing,0r4juSA0CJc,65,75,train
13771,dancing charleston,0rhk4HYpN64,304,314,train
13799,dancing ballet,0rue4bd0gCE,242,252,train
13832,tap dancing,0sAIg5Xn_6E,12,22,train
13844,belly dancing,0sCg3fIcMCA,83,93,train
13869,robot dancing,0sO1JRuU62M,250,260,train
13876,swing dancing,0sSEhBCxXLM,99,109,train
13912,tap dancing,0so1jmNGlC4,165,175,train
13921,breakdancing,0su0y27YmgY,4,14,train
13931,dancing macarena,0syP-hw59gg,20,30,train
14037,square dancing,0tq2mNwKttI,19,29,train
14080,dancing gangnam style,0uGdiI1Rz_8,0,10,train
14081,tango dancing,0uH3cHAPKYs,58,68,train
14114,dancing charleston,0uajuwVfMJE,34,44,train
14133,dancing gangnam style,0uiOr10aRXg,15,25,train
14163,dancing gangnam style,0v3Z7gpxzoA,0,10,train
14177,belly dancing,0vAdkmqQ9f4,29,39,train
14183,square dancing,0vBQxyYVjlU,129,139,train
14242,dancing gangnam style,0vk-xZUj6A0,82,92,train
14243,belly dancing,0vkvgDgikP0,387,397,train
14249,tango dancing,0vlyI0pEXRs,7,17,train
14279,tap dancing,0w2gF3RahO8,156,166,train
14296,jumpstyle dancing,0wFFQoS76-M,14,24,train
14316,dancing charleston,0wOCOf4a1Zk,93,103,train
14319,salsa dancing,0wPLaDPfcuY,3,13,train
14321,country line dancing,0wPTgM3_Oyc,23,33,train
14344,salsa dancing,0w_ipjElSuI,85,95,train
14350,square dancing,0wccIcgmDm8,109,119,train
14371,breakdancing,0wp3NqFTCBI,333,343,train
14380,swing dancing,0ww_Apkft4M,176,186,train
14381,country line dancing,0wwzMnMQTV0,85,95,train
14558,swing dancing,0ykifSZ0Yo8,64,74,train
14617,dancing macarena,0zF-6j-OHoc,37,47,train
14636,country line dancing,0zOtFy7o8T8,0,10,train
14638,swing dancing,0zPA0P8HwUo,102,112,train
14726,tango dancing,1-DRY484GdY,30,40,train
14731,tap dancing,1-ExYm0tgNA,79,89,train
14733,dancing macarena,1-F6OtZw2ko,2,12,train
14780,breakdancing,1-Yd3Py976w,7,17,train
14817,salsa dancing,1-mGbsAV1x8,238,248,train
14828,dancing macarena,1-sLi6oXw5U,54,64,train
14831,dancing macarena,1-tbCY0OyZE,193,203,train
14837,mosh pit dancing,1-xQsI1tYXA,0,10,train
14840,dancing macarena,10-Q5QRWkI4,238,248,train
14846,salsa dancing,1048ArCioEw,248,258,train
14868,belly dancing,10DaYl4acVI,1124,1134,train
14935,country line dancing,10oKh9lCEIQ,122,132,train
14991,mosh pit dancing,11B29DHp8Pw,24,34,train
15029,square dancing,11QrlZtbQaQ,50,60,train
15109,dancing charleston,11zeXi6Qujc,113,123,train
15127,square dancing,128_gPLKIp4,0,10,train
15142,dancing ballet,12ENBIFoSKc,140,150,train
15179,robot dancing,12YOxsHwThc,108,118,train
15231,robot dancing,13-0DjY93C0,7,17,train
15294,tap dancing,13W_9xdaOZE,68,78,train
15314,square dancing,13d0VQZsxGc,67,77,train
15323,swing dancing,13hb6hWCRjY,0,10,train
15427,breakdancing,14UJmm-H2cw,158,168,train
15432,square dancing,14XPB1NrV7Y,0,10,train
15476,dancing ballet,14s1TZAt_tQ,38,48,train
15528,tap dancing,15CFahW4OMc,5,15,train
15607,dancing gangnam style,15j1eatsaqs,46,56,train
15611,mosh pit dancing,15kl_7XzIAU,6,16,train
15621,salsa dancing,15svNnzDX-Q,80,90,train
15658,dancing charleston,169JhNR2IlM,23,33,train
15674,dancing macarena,16MQvOs00fI,41,51,train
15785,square dancing,17HMRjUV-Go,108,118,train
15812,breakdancing,17Up_AQPTdc,1,11,train
15849,mosh pit dancing,17jWUZLYi8g,136,146,train
15853,country line dancing,17nRsWXyyVc,334,344,train
15873,tango dancing,181TW2rKGzc,72,82,train
15988,belly dancing,199Og99IfiE,326,336,train
16059,breakdancing,19ixa_zFTlA,27,37,train
16068,tango dancing,19mfKnwywu8,157,167,train
16075,dancing gangnam style,19oVaFAvfJs,66,76,train
16119,tango dancing,1AHHCqMbb50,148,158,train
16121,belly dancing,1AH_8mrtqnM,6,16,train
16185,breakdancing,1AnsEVMoQfo,0,10,train
16238,tap dancing,1BDY88KMJDE,2,12,train
16248,jumpstyle dancing,1BJKGFBluqY,97,107,train
16262,dancing macarena,1BR-ep_1S7Y,1,11,train
16266,tango dancing,1BSpQ9stQTg,56,66,train
16276,tango dancing,1BTNiR373PM,5,15,train
16278,tango dancing,1BTUZDVQxqM,79,89,train
16295,jumpstyle dancing,1Bd74ScJKrw,10,20,train
16302,swing dancing,1BkRWkHCMjQ,77,87,train
16360,dancing macarena,1C9-jKR0uSE,124,134,train
16371,salsa dancing,1CDdTJ3dRYM,63,73,train
16397,dancing gangnam style,1CSj0vQupTE,3,13,train
16410,salsa dancing,1CYWw1TvrGs,185,195,train
16429,dancing ballet,1Cg4StZK_IA,109,119,train
16454,dancing ballet,1Cw4Q_5YQHU,40,50,train
16527,jumpstyle dancing,1DSNpTTsJJ4,6,16,train
16573,breakdancing,1DxBQKVqBXU,13,23,train
16578,dancing gangnam style,1DzLCBi1QtI,14,24,train
16599,dancing charleston,1E839z6wNFY,87,97,train
16694,swing dancing,1EsownAdaow,76,86,train
16717,country line dancing,1F06-F2BCNw,71,81,train
16757,tap dancing,1FKzeLuDANE,45,55,train
16792,mosh pit dancing,1FekqE_kUEQ,3,13,train
16793,dancing macarena,1FgzR6wNkbE,7,17,train
16811,square dancing,1FqiK9LNUNk,195,205,train
16828,dancing ballet,1FyZF0M4v-o,135,145,train
16830,swing dancing,1FzHduIcRlk,53,63,train
16878,dancing ballet,1GNJIgDXbRw,243,253,train
16889,jumpstyle dancing,1GUnt-fBiBs,25,35,train
16921,country line dancing,1GlSxPv-a48,6,16,train
16945,country line dancing,1GwbO0BJXHs,131,141,train
16963,breakdancing,1H8XTVEJgPQ,73,83,train
16968,dancing ballet,1HAhF8UZ9MA,72,82,train
17043,jumpstyle dancing,1Hg7vKgybX8,0,10,train
17124,tap dancing,1IJ57WnNI9A,0,10,train
17278,robot dancing,1JY7dqQA4WM,1,11,train
17297,mosh pit dancing,1JenBZl53VM,3,13,train
17298,tango dancing,1Jf6x5ka3gk,4,14,train
17303,breakdancing,1JhfkssvuPQ,68,78,train
17317,jumpstyle dancing,1JnKV12yiac,93,103,train
17386,dancing gangnam style,1KJdjUtt7b4,5,15,train
17387,swing dancing,1KKdgM7-cP0,44,54,train
17424,swing dancing,1K_bnh1R0qw,135,145,train
17438,dancing macarena,1KjypLf0Fcg,0,10,train
17468,tap dancing,1L26a0FRHd8,97,107,train
17484,square dancing,1LAW6N03nZI,42,52,train
17627,swing dancing,1MKo_n4GLmc,7,17,train
