,label,youtube_id,time_start,time_end,split
4228,belly dancing,9T4j5xsZV4o,56,66,validate
4264,tap dancing,9UzhbvepemE,117,127,validate
4436,breakdancing,9df6GFjJhGE,20,30,validate
4453,tap dancing,9ehItA1Gmq0,6,16,validate
4454,breakdancing,9ehx6CUbLxQ,67,77,validate
4463,breakdancing,9exoFgtsqbo,12,22,validate
4521,breakdancing,9hqyyypfkNA,7,17,validate
4531,tap dancing,9ieF-sFLycE,5,15,validate
4592,country line dancing,9lS7Q1_Zu-0,54,64,validate
4644,tap dancing,9ohd_txfmxU,272,282,validate
4692,tap dancing,9r67eUNFS78,14,24,validate
4727,tap dancing,9t6jxx1kdPc,3,13,validate
4758,breakdancing,9uuzeoVJ6OE,128,138,validate
4861,tango dancing,A0A5p7ppQ70,25,35,validate
4962,belly dancing,A4k1iqoWuLo,261,271,validate
4974,breakdancing,A5Or9nSv4dc,801,811,validate
5011,breakdancing,A7I732kFwzA,23,33,validate
5072,breakdancing,A9sn9x0qKc4,14,24,validate
5092,breakdancing,AAiAyFmaMUs,9,19,validate
5155,breakdancing,ADLQI-J701o,15,25,validate
5468,tap dancing,AWavqT2pU6s,17,27,validate
5703,breakdancing,AigMzNLY7Gc,11,21,validate
5770,tango dancing,Amelecba8lU,45,55,validate
5824,salsa dancing,Aq_9wSCVsNg,55,65,validate
6124,tap dancing,B7Jy-cpfBj8,12,22,validate
6201,tap dancing,BBfZE_QPY48,1,11,validate
6235,tap dancing,BD711v1OO94,12,22,validate
6274,salsa dancing,BFJKs3qwFuQ,114,124,validate
6418,salsa dancing,BOzToM6hwiQ,61,71,validate
6580,salsa dancing,BZQLZzhdF-U,164,174,validate
6604,tap dancing,BaMKUTbGN2w,2,12,validate
6605,tap dancing,BaRcqvWYmis,1,11,validate
6629,tap dancing,Bc-_lhbMC5E,117,127,validate
6636,salsa dancing,BcNCi5TA9MY,106,116,validate
6749,salsa dancing,BixahuPrF0A,230,240,validate
6773,salsa dancing,BlvyWehgVSw,57,67,validate
6937,dancing macarena,BygUpGOewR4,13,23,validate
6955,dancing macarena,C-JCfRNvm9s,95,105,validate
7094,swing dancing,C7uJy3M_eNs,897,907,validate
7164,swing dancing,CCZgxEIC9yU,234,244,validate
7435,salsa dancing,C_DrEA9AszU,154,164,validate
7436,swing dancing,C_JikWdxm78,33,43,validate
7446,dancing macarena,CaBq0CtuYJg,0,10,validate
7470,swing dancing,CcZEXBB-IBk,146,156,validate
7504,salsa dancing,CeovAdVQfnI,264,274,validate
7541,country line dancing,CherBd9uT3w,19,29,validate
7553,swing dancing,CimbeIZ4D_Y,78,88,validate
7660,swing dancing,CuWMFI0Fl-E,346,356,validate
7684,dancing macarena,CxV3FW3oCZw,46,56,validate
7716,dancing macarena,D01tF0X7NYw,0,10,validate
7836,dancing charleston,D7tc6jpRS8c,21,31,validate
7860,dancing macarena,D9jaeElwvJU,0,10,validate
7880,dancing macarena,DB-PW2DdbOY,35,45,validate
7887,dancing macarena,DBQ0GmwfhbQ,17,27,validate
7909,swing dancing,DCu8NlJrHhc,10,20,validate
7924,swing dancing,DDfVybrqEso,90,100,validate
7935,salsa dancing,DEwYJQ-9F_U,64,74,validate
7937,dancing macarena,DF4cDyEuw5E,126,136,validate
7958,dancing macarena,DGjWu80PqxA,10,20,validate
7981,dancing macarena,DIyzhxodidY,15,25,validate
7996,swing dancing,DL9qxOFJCCQ,29,39,validate
8019,dancing macarena,DOBeVZEBqCQ,0,10,validate
8020,square dancing,DOEuBic9P4U,213,223,validate
8023,salsa dancing,DOVHuFkTNF4,84,94,validate
8077,dancing macarena,DWGr2m3X_4o,13,23,validate
8167,dancing charleston,DdhI8ldtipk,29,39,validate
8179,salsa dancing,Df2MjyuASTs,0,10,validate
8308,dancing charleston,Dw4d3Dfu9IE,65,75,validate
8310,salsa dancing,DwDzPL5G3sg,6,16,validate
8328,swing dancing,DxsjzuhTizU,13,23,validate
8332,square dancing,DyLoX-S7ZZw,5,15,validate
8342,swing dancing,DzbXgzAdU10,19,29,validate
8346,dancing charleston,E-3HT75wja8,15,25,validate
8375,dancing ballet,E1S0EPlIMWY,5,15,validate
8411,swing dancing,E4Gnvfb836I,76,86,validate
8412,dancing macarena,E4JJwXyOOj8,0,10,validate
8426,tango dancing,E5J9Hy8bY5Y,11,21,validate
8429,salsa dancing,E5Q8X8EOM5M,43,53,validate
8466,dancing macarena,E7xLLqTgcTQ,39,49,validate
8493,dancing charleston,EAGM1kAX9Ss,29,39,validate
8499,dancing macarena,EAfKnQ3ziMY,43,53,validate
8502,tango dancing,EB8aVUaRREg,58,68,validate
8526,dancing macarena,EDM2ArE3sRc,10,20,validate
8536,dancing macarena,EDxrpeKD3QM,0,10,validate
8574,salsa dancing,EHIOv7cGff4,44,54,validate
8582,dancing macarena,EHt95RnKSJA,47,57,validate
8599,dancing charleston,EJ8InYZaE78,76,86,validate
8617,swing dancing,ELbc0rZI_Tc,16,26,validate
8649,salsa dancing,EPFepaa78Q0,124,134,validate
8664,jumpstyle dancing,ERJ_kkOE2iI,8,18,validate
8774,salsa dancing,EdfA2a4hx4g,15,25,validate
8789,dancing macarena,EegGZYT0-u0,20,30,validate
8812,salsa dancing,EgqgmG21OLU,76,86,validate
8822,jumpstyle dancing,EhIUgN089a4,209,219,validate
8834,dancing macarena,EiGMXbuZwzA,1,11,validate
8854,dancing charleston,Eju5cEgbBjQ,19,29,validate
8901,salsa dancing,EpHIGZBBWtc,178,188,validate
8932,tango dancing,EsvBxhTTs3Q,16,26,validate
8974,belly dancing,EziAnvcpng8,25,35,validate
8989,square dancing,F-yxflszRc4,46,56,validate
9050,square dancing,F3crL5xXs3M,22,32,validate
9056,belly dancing,F3znbL2QN20,176,186,validate
9063,dancing ballet,F4ecyGE1gJc,138,148,validate
9072,jumpstyle dancing,F5J5It7HcgU,76,86,validate
9103,belly dancing,F7l827xYvEU,254,264,validate
9112,dancing macarena,F8YSKIhryiQ,0,10,validate
9122,belly dancing,F9O_hbB-cbU,0,10,validate
9162,dancing charleston,FBwBLiIsfz0,12,22,validate
9205,jumpstyle dancing,FFBWSgf60jg,6,16,validate
9230,jumpstyle dancing,FHM2kl8KYnI,16,26,validate
9233,dancing macarena,FHb46VEej-Y,54,64,validate
9292,tango dancing,FOTCk572uI0,0,10,validate
9295,swing dancing,FOl2YjP4hvg,69,79,validate
9310,square dancing,FQKUM6iOfAc,55,65,validate
9362,jumpstyle dancing,FYwSkvTwtwI,103,113,validate
9396,square dancing,Fc-G7es_oZM,49,59,validate
9409,swing dancing,FcvNBgxPfKQ,28,38,validate
9412,swing dancing,Fd2z0CsCnVs,78,88,validate
9420,dancing charleston,FdveYX1JWZo,114,124,validate
9458,tango dancing,Fgx1-9t3M04,568,578,validate
9494,square dancing,Fjj-NjxRSMk,597,607,validate
9560,swing dancing,FrGMoqAR4j4,39,49,validate
9628,jumpstyle dancing,G0bJBSA4aoE,6,16,validate
9636,tango dancing,G0ouKKUWPHA,72,82,validate
9649,jumpstyle dancing,G29qwl5851U,5,15,validate
9662,dancing macarena,G3FATrguluo,144,154,validate
9706,jumpstyle dancing,G6zIY4yYfrc,552,562,validate
9734,tango dancing,G9B_BJdI-48,3,13,validate
9741,jumpstyle dancing,G9gQ9BuWQVM,10,20,validate
9746,square dancing,G9zC4TsINvc,32,42,validate
9785,jumpstyle dancing,GDgOfZ-_yzM,22,32,validate
9792,dancing macarena,GEonce1AJ10,6,16,validate
9808,jumpstyle dancing,GGaoCZa_yqs,40,50,validate
9818,square dancing,GHELhdkKQGQ,41,51,validate
9871,mosh pit dancing,GNS7JKNFO3k,0,10,validate
9940,jumpstyle dancing,GWn5Q942O6U,58,68,validate
9976,swing dancing,GacJKoQZHB0,111,121,validate
9997,dancing macarena,GcaBq9wCPgM,0,10,validate
10023,jumpstyle dancing,GemD1AxG1aA,64,74,validate
10040,jumpstyle dancing,GgKfEwOWWKg,52,62,validate
10053,square dancing,GhXleEOmvYA,0,10,validate
10086,square dancing,GlGMavx2adI,0,10,validate
10139,swing dancing,GstJiR2WlRs,103,113,validate
10158,dancing charleston,GwDf0JoNTPM,4,14,validate
10188,dancing charleston,H-q2L-ub09I,16,26,validate
10237,square dancing,H38yCQ14o5Q,47,57,validate
10242,dancing charleston,H3R5RbjK2AA,145,155,validate
10254,jumpstyle dancing,H49coqth6_Q,123,133,validate
10265,dancing gangnam style,H5fpT7GgDYE,0,10,validate
10314,jumpstyle dancing,H8sDuWW-3m0,199,209,validate
10325,dancing charleston,H9nAwI4Uykg,7,17,validate
10326,square dancing,H9pKDiI-CB8,186,196,validate
10342,square dancing,HBZGDQcai3U,7,17,validate
10351,swing dancing,HCKlcQKV3iA,12,22,validate
10366,dancing macarena,HDm6MGYxYq4,3,13,validate
10387,square dancing,HFuMAB-MCjA,110,120,validate
10389,jumpstyle dancing,HG0AhxrKZVo,39,49,validate
10392,mosh pit dancing,HGZ1S-b25Bk,27,37,validate
10402,dancing macarena,HH3XAQUiQJ0,31,41,validate
10407,jumpstyle dancing,HHEBKvnbh1E,4,14,validate
10438,square dancing,HKBiZNViq9Q,0,10,validate
10460,dancing charleston,HN1S9EDi0YU,59,69,validate
10462,swing dancing,HN2UXh-wLE4,211,221,validate
10469,dancing charleston,HO7Z6X1J0QM,19,29,validate
10474,mosh pit dancing,HOjPg7yB6kU,3,13,validate
10510,belly dancing,HTAIjs5r670,206,216,validate
10519,belly dancing,HUMrUj8y3Ks,1965,1975,validate
10522,dancing gangnam style,HUuzL4jrdg8,249,259,validate
10581,mosh pit dancing,HbWiew40zDw,45,55,validate
10588,dancing charleston,Hc1GceOSxZQ,84,94,validate
10592,dancing charleston,HcFXX1PNHWw,139,149,validate
10602,dancing macarena,Hd6y-PzpWoU,0,10,validate
10605,swing dancing,Hd8ol-eo1pA,66,76,validate
10606,square dancing,HdXaN5Qq6uc,99,109,validate
10618,swing dancing,HeFDZvM7xao,5,15,validate
10644,dancing ballet,HfwtXw_xxI4,346,356,validate
10682,dancing ballet,HiUim36X0fc,94,104,validate
10685,square dancing,HinLP7whvDk,88,98,validate
10764,tango dancing,Hra3teAHvnw,32,42,validate
10815,dancing ballet,HwuBBg0p7ck,26,36,validate
10853,square dancing,I-n_2d0CRAw,217,227,validate
10888,mosh pit dancing,I2hJxRppeII,27,37,validate
10932,square dancing,I6uPvGYig0U,99,109,validate
10958,dancing ballet,I9eciCXFIxU,2,12,validate
10962,belly dancing,I9y3ELWqVlY,186,196,validate
10968,dancing gangnam style,IAUruI_dJTQ,34,44,validate
10972,dancing charleston,IAfFwIDjRuk,6,16,validate
10974,dancing gangnam style,IArpU6_NHEA,171,181,validate
10989,dancing gangnam style,ICnX56KHfYc,5,15,validate
11026,square dancing,IGaIuR0-1OI,370,380,validate
11039,dancing charleston,IHe9fdBM20A,18,28,validate
11061,dancing gangnam style,IJjJRYb8tok,76,86,validate
11068,dancing gangnam style,IKQYj9QHZm4,131,141,validate
11072,square dancing,IL-4jlRCbjY,1,11,validate
11081,square dancing,IM5wbyZ1da0,211,221,validate
11097,square dancing,INpS9bYlZPU,83,93,validate
11121,mosh pit dancing,IQVVnZKpU7E,291,301,validate
11128,mosh pit dancing,IR2B9X7izTo,9,19,validate
11166,mosh pit dancing,IVZOmYVTB9I,15,25,validate
11204,tango dancing,IZyuRlFaNuE,22,32,validate
11224,dancing charleston,IbDBHUu8hJs,0,10,validate
11243,dancing gangnam style,IcHPqv4kMjo,0,10,validate
11255,jumpstyle dancing,IdD3B3f2qLI,24,34,validate
11262,tango dancing,IdVVUhYkLP4,39,49,validate
11269,square dancing,IdzWh3avcoI,22,32,validate
11300,dancing charleston,IhtqSjvvSQs,11,21,validate
11396,mosh pit dancing,Irks7lDKDiA,5,15,validate
11491,square dancing,J1mETAkUe4E,98,108,validate
11511,square dancing,J33iYiTkB34,38,48,validate
11514,mosh pit dancing,J3Omymdnc3Y,12,22,validate
11541,dancing gangnam style,J5R7nF7lLf4,50,60,validate
11544,jumpstyle dancing,J5bEUuVohgU,37,47,validate
11563,tango dancing,J72deqM067w,18,28,validate
11576,square dancing,J7rmxAg63zA,37,47,validate
11580,dancing gangnam style,J8K64KQTQuQ,43,53,validate
11617,mosh pit dancing,JBkxNk6P9L4,40,50,validate
11665,jumpstyle dancing,JEKhI5ON4Y8,116,126,validate
11729,tango dancing,JKAtNVtZj1Q,94,104,validate
11807,tango dancing,JTzjK1LrPas,28,38,validate
11837,jumpstyle dancing,JXCsXI7bqrA,75,85,validate
11882,square dancing,JbMtZnrJwXo,0,10,validate
11889,jumpstyle dancing,JbnAbe7kUik,160,170,validate
11929,jumpstyle dancing,JgDRbQITfk8,25,35,validate
11946,jumpstyle dancing,JivjVmU6ZiQ,14,24,validate
11969,mosh pit dancing,JlL2IqOGwW4,12,22,validate
11973,dancing ballet,JlpxDUlPuU0,263,273,validate
11975,square dancing,JltAgrnzktc,36,46,validate
12015,square dancing,Jr10HOk6j24,28,38,validate
12035,jumpstyle dancing,JuFxHyLJdXo,305,315,validate
12040,jumpstyle dancing,Jv1UBrZDqUs,165,175,validate
12101,jumpstyle dancing,K10a3qYtxAo,74,84,validate
12114,belly dancing,K2Fn28js5hg,1,11,validate
12121,dancing gangnam style,K2y9lef7SSk,6,16,validate
12162,jumpstyle dancing,K6a57V-0XPI,18,28,validate
12178,mosh pit dancing,K7mNEy-zyUM,6,16,validate
12220,jumpstyle dancing,KB1-R_19m0Y,6,16,validate
12224,jumpstyle dancing,KBRlmVGer1I,34,44,validate
12285,mosh pit dancing,KH_GJeFTGfs,30,40,validate
12370,tango dancing,KSO_-RQqWXU,1,11,validate
12378,tango dancing,KT2ZqWlwmyQ,46,56,validate
12423,tango dancing,KXq0DSiSLkU,66,76,validate
12521,mosh pit dancing,Ki800fV5NjM,0,10,validate
12552,dancing gangnam style,KlLnF0dx19I,143,153,validate
12566,mosh pit dancing,KnNrEOmjumY,43,53,validate
12656,dancing gangnam style,KzF6ARLZZMQ,199,209,validate
12746,dancing ballet,L6P9BM6cJrY,167,177,validate
12888,tango dancing,LJebnEMHLIc,26,36,validate
12901,dancing ballet,LLOmLhXLA1c,16,26,validate
13026,dancing ballet,LZdSURUtPc0,67,77,validate
13057,dancing gangnam style,LcZW83LcYE4,17,27,validate
13160,dancing ballet,LmxrP0S5fic,304,314,validate
13191,dancing ballet,LpICdkOWC40,16,26,validate
13226,mosh pit dancing,Lu2s2ysF704,42,52,validate
13241,mosh pit dancing,LwJH_wjtK5Y,1,11,validate
13242,dancing gangnam style,LwRzAmt7GZU,0,10,validate
13265,dancing ballet,LzC0u2O33QI,0,10,validate
13268,dancing ballet,LzUJSJg8YSY,0,10,validate
13280,tango dancing,M0kg-V7SPOk,93,103,validate
13281,dancing gangnam style,M0lmseSvFBE,24,34,validate
13306,mosh pit dancing,M2vUsuJ96ZA,54,64,validate
13407,mosh pit dancing,MCovIoLx26o,18,28,validate
13429,dancing gangnam style,MFzWGpQoar8,19,29,validate
13440,dancing gangnam style,MHIi_QmZ7Lw,5,15,validate
13471,mosh pit dancing,MJjmIs0MQe0,6,16,validate
13629,dancing gangnam style,Md-uDEQhMpw,0,10,validate
13633,dancing gangnam style,MdPkjs1TlYc,16,26,validate
13829,dancing gangnam style,N2at4LQj850,116,126,validate
13865,belly dancing,N5XxKqdC2Tw,3,13,validate
13866,dancing ballet,N5YMVHdMgjg,38,48,validate
13872,dancing gangnam style,N5wmiXmMLpw,85,95,validate
13925,dancing ballet,N9nZLyEVqpU,54,64,validate
14157,dancing gangnam style,NaS43ulcgiI,0,10,validate
14261,tango dancing,NlMal9RQNuw,151,161,validate
14378,dancing gangnam style,O-JHqfl0LiE,11,21,validate
14387,dancing gangnam style,O0H-Qf2Wryk,36,46,validate
14416,tango dancing,O2ayx8r7w0U,428,438,validate
14466,dancing ballet,O7K5Q7DkFV4,1,11,validate
14628,tango dancing,OOHxZTPGauQ,413,423,validate
14827,tango dancing,OneqzdFK9GM,229,239,validate
15048,dancing ballet,PBcDmCUtAW8,19,29,validate
15089,dancing ballet,PGXsNzfaYG0,21,31,validate
15115,tango dancing,PJF-QpwY9-M,115,125,validate
15737,robot dancing,QgDJShoKC3g,100,110,validate
15786,dancing ballet,QmlXjWOiK1Q,3,13,validate
15872,robot dancing,QxrnUdKa2wg,53,63,validate
15896,dancing ballet,R0MoZJj47jg,61,71,validate
15911,robot dancing,R351TMwad2A,22,32,validate
16159,dancing ballet,Rgu86-9AiEU,133,143,validate
16293,robot dancing,S1ZqDakQYUs,9,19,validate
16566,robot dancing,SjKp501MUQE,251,261,validate
16608,robot dancing,SrbyQFf3ySY,1,11,validate
16618,robot dancing,St_7Wl_Dr1s,0,10,validate
16669,robot dancing,T18ONR6W0l0,7,17,validate
16708,robot dancing,T7-QDChthFk,108,118,validate
16709,robot dancing,T79fv22H_pA,137,147,validate
16751,robot dancing,TCVX5dOO6AI,227,237,validate
16762,robot dancing,TECxUAKnddE,101,111,validate
16903,robot dancing,Td09-JwKdhU,10,20,validate
17135,robot dancing,UEuJvGDDF70,53,63,validate
17146,robot dancing,UHE1lo9yOE8,0,10,validate
17216,country line dancing,USXvlxSJN5I,82,92,validate
17295,country line dancing,Uf_Vt012mp4,33,43,validate
17431,robot dancing,V2aYXNLuEPM,97,107,validate
17434,robot dancing,V2hSpr66jR0,27,37,validate
17439,robot dancing,V3VCExB2EJo,0,10,validate
17441,robot dancing,V3tEXrVPCEo,5,15,validate
17499,belly dancing,VEQUN7aXGkg,0,10,validate
17532,country line dancing,VImVfQROxoc,58,68,validate
17535,belly dancing,VJ74OB9om34,188,198,validate
17538,belly dancing,VJpPdf4EjBw,0,10,validate
17550,country line dancing,VM3jZsiAhQ8,113,123,validate
17607,country line dancing,VU7UGv84Y6Q,189,199,validate
17660,country line dancing,VelRD1P0k5k,119,129,validate
17676,robot dancing,ViIHLguq238,21,31,validate
17745,country line dancing,VuF_bEzNhSc,38,48,validate
17770,belly dancing,Vx9ooS1R96g,130,140,validate
17780,belly dancing,VyR1CgZlMZ4,202,212,validate
17781,country line dancing,VyT-0zMzgVg,50,60,validate
17786,robot dancing,W-0ZnqgVpuo,43,53,validate
17792,robot dancing,W0BviJ3EP9o,17,27,validate
17821,robot dancing,W6e4GhmbvTk,0,10,validate
17853,country line dancing,WCod7ANgOq0,197,207,validate
17938,belly dancing,WYSz4cokR3w,19,29,validate
17951,robot dancing,W_vjngoTmGw,64,74,validate
17964,belly dancing,WbM5XU7N458,210,220,validate
17972,robot dancing,WcBpcBDzjhc,67,77,validate
18105,robot dancing,X1vfr7Tv4GU,0,10,validate
18149,belly dancing,XAnQuSUG4nc,7,17,validate
18215,belly dancing,XNXLGjadxfs,9,19,validate
18277,country line dancing,XfTpdlT60zg,67,77,validate
18288,belly dancing,XhkKng_G66U,2,12,validate
18315,country line dancing,Xo3SaMtLsn0,48,58,validate
18588,belly dancing,YkoLlOXfIyI,267,277,validate
18651,country line dancing,Z1a8FpuYpFs,23,33,validate
18659,country line dancing,Z2PNiD12qlM,157,167,validate
18743,country line dancing,ZNavnbdgKRQ,37,47,validate
18778,country line dancing,ZYPcrMP77HI,13,23,validate
18821,country line dancing,ZhgAlfOz3w0,29,39,validate
18832,country line dancing,Zk2um2kgC6U,1,11,validate
18860,country line dancing,Zs6yLeJk8z0,65,75,validate
19100,belly dancing,_miHRYvE2B4,97,107,validate
19120,country line dancing,_sfoD5R4f-c,82,92,validate
19255,tap dancing,a4C581-fua4,7,17,validate
19298,breakdancing,a5Tre8FtNWM,6,16,validate
19320,tap dancing,a63hcl5PPMI,363,373,validate
19326,tap dancing,a6UdKAo-shQ,14,24,validate
19361,breakdancing,a8E9chycbxU,64,74,validate
19382,breakdancing,a9mPFLm3QlY,283,293,validate
19414,tap dancing,aB9zmzZFUqU,24,34,validate
19530,breakdancing,aGhukADdu5A,10,20,validate
19722,salsa dancing,aS-Waz9np0o,127,137,validate
19743,tango dancing,aTBiyfnbbH0,65,75,validate
19767,belly dancing,aV7yHLRQvNw,49,59,validate
19844,salsa dancing,a_6lbkkmLkk,94,104,validate
20055,tango dancing,aj1d90iJH1I,155,165,validate
20088,breakdancing,akmYzbGChro,60,70,validate
20186,salsa dancing,ar7AHg1Th4M,1,11,validate
20242,salsa dancing,auAcbpwDCCg,144,154,validate
20351,tap dancing,b0QonOqLIDg,37,47,validate
20564,salsa dancing,bB2rDmm3bis,26,36,validate
20603,salsa dancing,bCUUCoDT1Ok,254,264,validate
20640,tap dancing,bEkzA9En1DY,48,58,validate
20696,salsa dancing,bHepcm-nWNY,45,55,validate
20811,salsa dancing,bP0TRhGtkaM,45,55,validate
20911,tango dancing,bVdLHIbWc5A,63,73,validate
20981,tap dancing,baGNS-Tm1ck,16,26,validate
21049,tango dancing,beDntjdi7SM,25,35,validate
21175,salsa dancing,blptHRrlZu8,2,12,validate
21191,salsa dancing,bncQ2ZHXRaw,198,208,validate
21250,salsa dancing,brFFCO1gvVw,104,114,validate
21353,salsa dancing,c-13Rqxn4zI,17,27,validate
21362,dancing macarena,c-GUe47inss,28,38,validate
21564,salsa dancing,cAiRq8pZQ3A,102,112,validate
21584,tango dancing,cBheJ-LKfxo,90,100,validate
21630,country line dancing,cEVQ2MLKFHI,81,91,validate
21697,salsa dancing,cIbzxjiW7H4,8,18,validate
21713,salsa dancing,cKVjwADNL_Q,111,121,validate
21771,country line dancing,cR45gStpYhA,4,14,validate
21832,tango dancing,cZTQmKoveqI,62,72,validate
21854,swing dancing,caHVqn-5wRA,151,161,validate
21934,salsa dancing,cegnCGfBoBo,3,13,validate
21989,salsa dancing,cinka749_o4,29,39,validate
22005,salsa dancing,ckBqUna31IE,79,89,validate
22101,salsa dancing,cv_RCm_JwOg,46,56,validate
22128,tango dancing,cz6A1docGAs,165,175,validate
22136,salsa dancing,czVJQ1cev0A,131,141,validate
22157,swing dancing,d00FblZgN54,0,10,validate
22164,swing dancing,d0Is1OQkvKo,1,11,validate
22167,tango dancing,d0PWShgwjWQ,62,72,validate
22172,dancing macarena,d0o7Xp6in7A,39,49,validate
22200,salsa dancing,d2iZ6O-hJuA,149,159,validate
22210,dancing macarena,d3RbqMrqUIc,7,17,validate
22286,dancing macarena,d9o_-odOVE8,8,18,validate
22292,dancing charleston,dAGkS65q0Ww,44,54,validate
22299,dancing macarena,dAibf8EwLuA,7,17,validate
22308,swing dancing,dBF_Gn84PpQ,71,81,validate
22324,salsa dancing,dCVK-9VlNG4,46,56,validate
22378,tango dancing,dGdgN1XP88o,148,158,validate
22381,salsa dancing,dGpsMrIQv2E,94,104,validate
22389,dancing macarena,dHRQ1zKdGZg,0,10,validate
22435,belly dancing,dLZk5a9iO3I,144,154,validate
22480,salsa dancing,dROKUBZiFrs,61,71,validate
22484,tango dancing,dRdkS4QnIHc,145,155,validate
22487,belly dancing,dRf26obbxh4,432,442,validate
22489,swing dancing,dSAOV6XEjXA,118,128,validate
22491,dancing ballet,dSIwNrrpouI,46,56,validate
22510,salsa dancing,dUMRugdIzJM,78,88,validate
22557,swing dancing,dal4FopPWsY,4,14,validate
22558,swing dancing,das8v6ybddE,88,98,validate
22582,salsa dancing,dd5xxMfCDqU,60,70,validate
